%frequency	 %AdV2017-WB	 %AdV2019-WB
   2.0188391e+01   6.8884067e-23   7.0540447e-23
   2.0234945e+01   6.8228736e-23   6.9884194e-23
   2.0281607e+01   6.7581439e-23   6.9235918e-23
   2.0328377e+01   6.6942006e-23   6.8595449e-23
   2.0375254e+01   6.6310269e-23   6.7962623e-23
   2.0422240e+01   6.5686072e-23   6.7337284e-23
   2.0469333e+01   6.5069264e-23   6.6719282e-23
   2.0516536e+01   6.4459699e-23   6.6108473e-23
   2.0563847e+01   6.3857240e-23   6.5504719e-23
   2.0611268e+01   6.3261753e-23   6.4907889e-23
   2.0658797e+01   6.2673109e-23   6.4317856e-23
   2.0706437e+01   6.2091187e-23   6.3734496e-23
   2.0754186e+01   6.1515866e-23   6.3157693e-23
   2.0802045e+01   6.0947034e-23   6.2587334e-23
   2.0850015e+01   6.0384580e-23   6.2023308e-23
   2.0898095e+01   5.9828398e-23   6.1465510e-23
   2.0946286e+01   5.9278385e-23   6.0913838e-23
   2.0994589e+01   5.8734442e-23   6.0368194e-23
   2.1043002e+01   5.8196473e-23   5.9828483e-23
   2.1091528e+01   5.7664385e-23   5.9294610e-23
   2.1140165e+01   5.7138088e-23   5.8766489e-23
   2.1188914e+01   5.6617495e-23   5.8244031e-23
   2.1237776e+01   5.6102521e-23   5.7727151e-23
   2.1286750e+01   5.5593083e-23   5.7215770e-23
   2.1335838e+01   5.5089103e-23   5.6709806e-23
   2.1385039e+01   5.4590502e-23   5.6209183e-23
   2.1434353e+01   5.4097205e-23   5.5713826e-23
   2.1483780e+01   5.3609139e-23   5.5223660e-23
   2.1533322e+01   5.3126231e-23   5.4738616e-23
   2.1582978e+01   5.2648413e-23   5.4258624e-23
   2.1632749e+01   5.2175615e-23   5.3783615e-23
   2.1682634e+01   5.1707773e-23   5.3313524e-23
   2.1732634e+01   5.1244821e-23   5.2848287e-23
   2.1782750e+01   5.0786696e-23   5.2387839e-23
   2.1832981e+01   5.0333336e-23   5.1932121e-23
   2.1883328e+01   4.9884681e-23   5.1481072e-23
   2.1933791e+01   4.9440673e-23   5.1034632e-23
   2.1984371e+01   4.9001253e-23   5.0592745e-23
   2.2035067e+01   4.8566365e-23   5.0155354e-23
   2.2085880e+01   4.8135954e-23   4.9722404e-23
   2.2136810e+01   4.7709967e-23   4.9293841e-23
   2.2187858e+01   4.7288348e-23   4.8869612e-23
   2.2239023e+01   4.6871048e-23   4.8449665e-23
   2.2290306e+01   4.6458016e-23   4.8033950e-23
   2.2341708e+01   4.6049200e-23   4.7622417e-23
   2.2393228e+01   4.5644553e-23   4.7215017e-23
   2.2444867e+01   4.5244025e-23   4.6811701e-23
   2.2496625e+01   4.4847572e-23   4.6412423e-23
   2.2548503e+01   4.4455144e-23   4.6017136e-23
   2.2600500e+01   4.4066699e-23   4.5625795e-23
   2.2652617e+01   4.3682190e-23   4.5238355e-23
   2.2704854e+01   4.3301574e-23   4.4854773e-23
   2.2757211e+01   4.2924807e-23   4.4475005e-23
   2.2809689e+01   4.2551848e-23   4.4099009e-23
   2.2862289e+01   4.2182655e-23   4.3726742e-23
   2.2915009e+01   4.1817186e-23   4.3358165e-23
   2.2967852e+01   4.1455401e-23   4.2993236e-23
   2.3020816e+01   4.1097261e-23   4.2631916e-23
   2.3073902e+01   4.0742726e-23   4.2274165e-23
   2.3127110e+01   4.0391758e-23   4.1919946e-23
   2.3180442e+01   4.0044319e-23   4.1569219e-23
   2.3233896e+01   3.9700372e-23   4.1221948e-23
   2.3287474e+01   3.9359880e-23   4.0878097e-23
   2.3341175e+01   3.9022806e-23   4.0537627e-23
   2.3395000e+01   3.8689116e-23   4.0200505e-23
   2.3448949e+01   3.8358773e-23   3.9866693e-23
   2.3503022e+01   3.8031743e-23   3.9536159e-23
   2.3557220e+01   3.7707992e-23   3.9208867e-23
   2.3611543e+01   3.7387487e-23   3.8884784e-23
   2.3665992e+01   3.7070193e-23   3.8563876e-23
   2.3720566e+01   3.6756079e-23   3.8246110e-23
   2.3775265e+01   3.6445112e-23   3.7931455e-23
   2.3830091e+01   3.6137259e-23   3.7619877e-23
   2.3885044e+01   3.5832490e-23   3.7311346e-23
   2.3940123e+01   3.5530774e-23   3.7005830e-23
   2.3995329e+01   3.5232079e-23   3.6703298e-23
   2.4050662e+01   3.4936375e-23   3.6403721e-23
   2.4106123e+01   3.4643634e-23   3.6107068e-23
   2.4161712e+01   3.4353824e-23   3.5813309e-23
   2.4217429e+01   3.4066918e-23   3.5522415e-23
   2.4273275e+01   3.3782885e-23   3.5234357e-23
   2.4329249e+01   3.3501699e-23   3.4949108e-23
   2.4385353e+01   3.3223330e-23   3.4666638e-23
   2.4441586e+01   3.2947751e-23   3.4386920e-23
   2.4497948e+01   3.2674935e-23   3.4109926e-23
